llv.fold	weighting.threshold.upper	weighting.threshold.lower	weighting.threshold	no.ids.labelled	no.ids.unlabelled	no.new.labelled	no.ids.left.unlabelled	iteration	accuracy	balanced.accuracy	coverage	non-sensitive_accuracy	sensitive_accuracy	non-sensitive_coverage	sensitive_coverage
8	2.2252549123383	0	2.11399216672138	682	114	7	107	5	0.863636363636364	0.858333333333333	0.785714285714286	0.8	0.916666666666667	0.769230769230769	0.8
8	2.2252549123383	0	2.11399216672138	689	107	3	104	6	0.863636363636364	0.858333333333333	0.785714285714286	0.8	0.916666666666667	0.769230769230769	0.8
8	2.2252549123383	0	2.11399216672138	692	104	3	101	7	0.863636363636364	0.858333333333333	0.785714285714286	0.8	0.916666666666667	0.769230769230769	0.8
9	2.2252549123383	0	2.11399216672138	216	580	408	172	1	0.947368421052632	0.875	0.826086956521739	1	0.75	0.882352941176471	0.666666666666667
9	2.2252549123383	0	2.11399216672138	624	172	47	125	2	0.9	0.8	0.869565217391304	1	0.6	0.882352941176471	0.833333333333333
9	2.2252549123383	0	2.11399216672138	671	125	10	115	3	0.9	0.8	0.869565217391304	1	0.6	0.882352941176471	0.833333333333333
9	2.2252549123383	0	2.11399216672138	681	115	6	109	4	0.9	0.8	0.869565217391304	1	0.6	0.882352941176471	0.833333333333333
9	2.2252549123383	0	2.11399216672138	687	109	8	101	5	0.9	0.8	0.869565217391304	1	0.6	0.882352941176471	0.833333333333333
9	2.2252549123383	0	2.11399216672138	695	101	8	93	6	0.9	0.8	0.869565217391304	1	0.6	0.882352941176471	0.833333333333333
9	2.2252549123383	0	2.11399216672138	703	93	7	86	7	0.9	0.8	0.869565217391304	1	0.6	0.882352941176471	0.833333333333333
9	2.2252549123383	0	2.11399216672138	710	86	5	81	8	0.9	0.8	0.869565217391304	1	0.6	0.882352941176471	0.833333333333333
9	2.2252549123383	0	2.11399216672138	715	81	2	79	9	0.9	0.8	0.869565217391304	1	0.6	0.882352941176471	0.833333333333333
10	2.2252549123383	0	2.11399216672138	211	585	398	187	1	0.75	0.75	0.714285714285714	0.8	0.7	0.833333333333333	0.625
10	2.2252549123383	0	2.11399216672138	609	187	54	133	2	0.739130434782609	0.738636363636364	0.821428571428571	0.727272727272727	0.75	0.916666666666667	0.75
10	2.2252549123383	0	2.11399216672138	663	133	21	112	3	0.739130434782609	0.738636363636364	0.821428571428571	0.727272727272727	0.75	0.916666666666667	0.75
10	2.2252549123383	0	2.11399216672138	684	112	6	106	4	0.739130434782609	0.738636363636364	0.821428571428571	0.727272727272727	0.75	0.916666666666667	0.75
10	2.2252549123383	0	2.11399216672138	690	106	1	105	5	0.739130434782609	0.738636363636364	0.821428571428571	0.727272727272727	0.75	0.916666666666667	0.75
10	2.2252549123383	0	2.11399216672138	691	105	3	102	6	0.739130434782609	0.738636363636364	0.821428571428571	0.727272727272727	0.75	0.916666666666667	0.75
10	2.2252549123383	0	2.11399216672138	694	102	2	100	7	0.739130434782609	0.738636363636364	0.821428571428571	0.727272727272727	0.75	0.916666666666667	0.75
10	2.2252549123383	0	2.11399216672138	696	100	1	99	8	0.739130434782609	0.738636363636364	0.821428571428571	0.727272727272727	0.75	0.916666666666667	0.75
10	2.2252549123383	0	2.11399216672138	697	99	1	98	9	0.739130434782609	0.738636363636364	0.821428571428571	0.727272727272727	0.75	0.916666666666667	0.75
10	2.2252549123383	0	2.11399216672138	698	98	2	96	10	0.739130434782609	0.738636363636364	0.821428571428571	0.727272727272727	0.75	0.916666666666667	0.75
